"ID","Type","Name","Documentation","Specialization"
"id-b666f70fe81743dd8892d88c167036ae","ArchimateModel","Technology Layer","",""
"id-0d8fa899449b4f3fbcc2f17ff546d0fb","Artifact","Backup Snapshot Repository","",""
"id-d7063ba6b8a94ea28c53154c1986e704","Artifact","Container Image: Integration Hub/API Gateway","",""
"id-48aea1fcba2e48c2a7faf06c2d00bc84","Artifact","Container Image: LMS","",""
"id-c88cf6894dde443882cf87bf2bfc5c01","Artifact","Log & Metrics Store","",""
"id-d925d742f6134db0b3060ec638c194eb","Artifact","Schema: MySQL “school_db”","",""
"id-5dd3704fcd0a45a699a44182fe2010be","Artifact","Static Build: School Portal","",""
"id-1ac6b486dc5d4a84b2e887fb460a9580","Artifact","WAR/ZIP: E-SKAPA","",""
"id-6b12c284bc2441ee938cc1659c51f569","CommunicationNetwork","Internet, CDN/DNS","",""
"id-f375a17549ed4c328b5e32469c1622a0","CommunicationNetwork","LAN/VLAN Kelas & Admin","",""
"id-99387828b8ce4c1e99191d92bb4e4550","CommunicationNetwork","Wi-Fi Sekolah","",""
"id-0d0d5272453345b1a8b6f9b99976ed44","Device","Firewall/UTM & Router","",""
"id-1cb9dd8bc9c841678f570e01013a0517","Device","NAS/Backup Appliance","",""
"id-aa8c7ee6158e406faf98a9d41178c548","Node","Cloud DB (Managed/MySQL RDS)","",""
"id-cdc2e93f988b4467a5c22d3d88c7c99a","Node","Cloud Storage (Object Storage/S3)","",""
"id-984e60a52a3f45a1b6cdadf0659dbcd2","Node","Cloud VM – App Cluster","",""
"id-a2385bb36685442f9bef922c1b4a41bc","Node","DB Server (On-Prem)","",""
"id-40b3c0b6663842e9a42ff8681bdcf776","Node","Monitoring Stack (Prometheus/Grafana/ELK)","",""
"id-15dc1720041d4521ab623176d8caf814","Node","School Server (VM/Metal)","",""
"id-441428b4acd64d6fb23d0af29768f8a3","SystemSoftware","Apache/Nginx","",""
"id-1bcc2f45c8364acdbc4e9dc1ca24aa38","SystemSoftware","Backup Agent/MinIO","",""
"id-afb4578d2c51409a999b4b2794dab67b","SystemSoftware","Kubernetes / Docker + Nginx Ingress.","",""
"id-8517e0b4bbdc4728a8e60f6adaf3dac9","SystemSoftware","Linux OS","",""
"id-7e99e8eca20a42b8bf0c0746ba6a18ac","SystemSoftware","MySQL","",""
"id-54e01edcb16344ca9e0d9ce953782257","TechnologyFunction","API Gateway","",""
"id-61c4263539324ffb8bc32850857de479","TechnologyFunction","DNS & CDN","",""
"id-3b0d66f2738b4d4fa5be5b7f5c08843e","TechnologyFunction","Firewall/UTM","",""
"id-6f66eb4e03b443f98d3eec1cb172010e","TechnologyFunction","Identity & Access (SSO/Keycloak)","",""
"id-6be8731363bb47db934d33e79f405964","TechnologyFunction","Metrics Scrape/Alerting","",""
"id-5e546d828c7e404dad5cb09efd2868ab","TechnologyFunction","Metrics Scrape/Alerting","",""
"id-516aa57eca414e298a57602852d8f87f","TechnologyFunction","MySQL/PostgreSQL Engine","",""
"id-522d4239191643e98c1128b6ddef9cd2","TechnologyFunction","Object Storage/NAS","",""
"id-565797dc6ae54a4aad7c5e66711ab7f0","TechnologyFunction","Replication & Backup","",""
"id-127fd34db5b64985afcd0a43751bd3c2","TechnologyFunction","Runtime Container Orchestration","",""
"id-62a079ae2eb54eb4acfedcdf6ee8fc0c","TechnologyFunction","SMTP relay","",""
"id-4a4d9efc773643479c9565c5bec14442","TechnologyFunction","Snapshot & Restore","",""
"id-e8bfea65372c470facf92f81784ac897","TechnologyFunction","TLS Termination","",""
"id-9d346b67981249a1a284cb5d55e08fe5","TechnologyFunction","Versioned Backups","",""
"id-a521014d744e4513a2c9bb80b34f1ce6","TechnologyFunction","VLAN/Wi-Fi","",""
"id-fa78c41ae7ee4672975b2f75218293fa","TechnologyFunction","Web Serving/Reverse Proxy","",""
"id-dfc4e391f2f7494d80bcf2f44e0693e2","TechnologyInterface","Lan Service Port","",""
"id-131b5e8e4d6b47e18f0f0024aa596cc6","TechnologyInterface","Public HTTPS Endpoint","",""
"id-a30501ea21c343058750663234348a1f","TechnologyService","Layanan Basis Data","",""
"id-a334425140744700a2fb586dbc5ff2b7","TechnologyService","Layanan Integrasi & SSO","",""
"id-925b4b73b12e4d7ab2f5b8b96d7aae22","TechnologyService","Layanan Jaringan & Keamanan","",""
"id-8f06e7b25d4e4322bc0c125d318e525f","TechnologyService","Layanan Komputasi Aplikasi","",""
"id-f66c8c2b02924e04814d3c9369f74ec2","TechnologyService","Layanan Monitoring & Logging","",""
"id-bb78b66be5bf4c16a69009f0e1c47132","TechnologyService","Layanan Penyimpanan & Cadangan","",""